序号,原版 event,category,vibration_intensity,audio,audio_intensity,player_only,haptics.lua 行,重复定义数,源码字面引用数,原版原始逻辑/证据,目前实现的触发逻辑,正常交互保护,空间/player_only 逻辑,目前具体震动方式,保真度与限制
66,dontstarve/impacts/impact_fur_armour_sharp,PLAYER,1.0,True,1.0,False,99,1,0,haptics.lua 第 99 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
67,dontstarve/impacts/impact_ghost_med_dull,PLAYER,1.0,True,1.0,False,100,1,0,haptics.lua 第 100 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
68,dontstarve/impacts/impact_ghost_med_sharp,PLAYER,1.0,True,1.0,False,101,1,0,haptics.lua 第 101 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
69,dontstarve/impacts/impact_hive_lrg_dull,PLAYER,1.0,True,1.0,False,102,1,0,haptics.lua 第 102 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
70,dontstarve/impacts/impact_hive_lrg_sharp,PLAYER,1.0,True,1.0,False,103,1,0,haptics.lua 第 103 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
71,dontstarve/impacts/impact_hive_med_dull,PLAYER,1.0,True,1.0,False,104,1,0,haptics.lua 第 104 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
72,dontstarve/impacts/impact_hive_med_sharp,PLAYER,1.0,True,1.0,False,105,1,0,haptics.lua 第 105 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
73,dontstarve/impacts/impact_insect_lrg_dull,PLAYER,1.0,True,1.0,False,106,1,0,haptics.lua 第 106 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
74,dontstarve/impacts/impact_insect_lrg_sharp,PLAYER,1.0,True,1.0,False,107,1,0,haptics.lua 第 107 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
75,dontstarve/impacts/impact_insect_med_dull,PLAYER,1.0,True,1.0,False,108,1,0,haptics.lua 第 108 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
76,dontstarve/impacts/impact_insect_med_sharp,PLAYER,1.0,True,1.0,False,109,1,0,haptics.lua 第 109 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
77,dontstarve/impacts/impact_insect_sml_dull,PLAYER,1.0,True,1.0,False,110,1,0,haptics.lua 第 110 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
78,dontstarve/impacts/impact_insect_sml_sharp,PLAYER,1.0,True,1.0,False,111,1,0,haptics.lua 第 111 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
79,dontstarve/impacts/impact_marble_armour_dull,PLAYER,1.0,True,1.0,False,112,1,0,haptics.lua 第 112 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
80,dontstarve/impacts/impact_marble_armour_sharp,PLAYER,1.0,True,1.0,False,113,1,0,haptics.lua 第 113 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
81,dontstarve/impacts/impact_marble_wall_dull,PLAYER,1.0,True,1.0,False,114,1,0,haptics.lua 第 114 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
82,dontstarve/impacts/impact_marble_wall_sharp,PLAYER,1.0,True,1.0,False,115,1,0,haptics.lua 第 115 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
83,dontstarve/impacts/impact_mech_lrg_dull,PLAYER,1.0,True,1.0,False,116,1,0,haptics.lua 第 116 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
84,dontstarve/impacts/impact_mech_lrg_sharp,PLAYER,1.0,True,1.0,False,117,1,0,haptics.lua 第 117 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
85,dontstarve/impacts/impact_mech_med_dull,PLAYER,1.0,True,1.0,False,118,1,0,haptics.lua 第 118 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
86,dontstarve/impacts/impact_mech_med_sharp,PLAYER,1.0,True,1.0,False,119,1,0,haptics.lua 第 119 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
87,dontstarve/impacts/impact_metal_armour_dull,PLAYER,1.0,True,1.0,False,120,1,0,haptics.lua 第 120 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
88,dontstarve/impacts/impact_metal_armour_sharp,PLAYER,1.0,True,1.0,False,121,1,0,haptics.lua 第 121 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
89,dontstarve/impacts/impact_mound_lrg_dull,PLAYER,1.0,True,1.0,False,122,1,0,haptics.lua 第 122 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
90,dontstarve/impacts/impact_mound_lrg_sharp,PLAYER,1.0,True,1.0,False,123,1,0,haptics.lua 第 123 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
91,dontstarve/impacts/impact_sanity_armour_dull,PLAYER,1.0,True,1.0,False,124,1,0,haptics.lua 第 124 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
92,dontstarve/impacts/impact_sanity_armour_sharp,PLAYER,1.0,True,1.0,False,125,1,0,haptics.lua 第 125 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
93,dontstarve/impacts/impact_shadow_med_dull,PLAYER,1.0,True,1.0,False,126,1,0,haptics.lua 第 126 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
94,dontstarve/impacts/impact_shadow_med_sharp,PLAYER,1.0,True,1.0,False,127,1,1,"haptics.lua 第 127 行注册；触发证据：stategraphs/SGshadowwaxwell.lua:1278 inst.SoundEmitter:PlaySound(""dontstarve/impacts/impact_shadow_med_sharp"")",客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
95,dontstarve/impacts/impact_shell_armour_dull,PLAYER,1.0,True,1.0,False,128,1,0,haptics.lua 第 128 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
96,dontstarve/impacts/impact_shell_armour_sharp,PLAYER,1.0,True,1.0,False,129,1,0,haptics.lua 第 129 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
97,dontstarve/impacts/impact_shell_med_dull,PLAYER,1.0,True,1.0,False,130,1,0,haptics.lua 第 130 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
98,dontstarve/impacts/impact_shell_med_sharp,PLAYER,1.0,True,1.0,False,131,1,0,haptics.lua 第 131 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
99,dontstarve/impacts/impact_stone_armour_dull,PLAYER,1.0,True,1.0,False,132,1,0,haptics.lua 第 132 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
100,dontstarve/impacts/impact_stone_armour_sharp,PLAYER,1.0,True,1.0,False,133,1,0,haptics.lua 第 133 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
101,dontstarve/impacts/impact_dreadstone_armour_dull,PLAYER,1.0,True,1.0,False,134,1,0,haptics.lua 第 134 行注册；触发证据：当前 Lua 源码无字面引用（可能由动态变量、资源/引擎路径触发，或为保留定义）,客户端原声钩子 + 服务器回传 ATTACK 后的 client-safe CanHitTarget 等价校验与原版材质解析,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,Impact 原版 WAV RMS 包络（约 0.5 s）+ 原版材质/尺寸/利钝系数,中高：挥空被过滤；NPC 服务端隐藏护甲/AOE 特例无法由纯客户端完全获知
